"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Forbes: Duterte's Philippines is now the World's 10th Fastest Growing Economy https://t.co/n4rcFgSRph",FALSE,0,NA,2017-08-14 14:14:03,FALSE,NA,"897098998326198273",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","IwasRyt",0,FALSE,FALSE,NA,NA
"2","RT @KBOMolina: Truth is, Duterte lied. And 16M people for it. He cant solve this drug war. Youre a fool if you still think he can.",FALSE,0,NA,2017-08-14 14:13:54,FALSE,NA,"897098962783449088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","angelagenecera",247,TRUE,FALSE,NA,NA
"3","RT @AribalAce: Dialogueâ€” Duterte's Visit to China 10/20/2016 | CCTV https://t.co/qaSy6xLUtO via @YouTube",FALSE,0,NA,2017-08-14 14:13:03,FALSE,NA,"897098747083186176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoTY4fOJG4kW2ve",6,TRUE,FALSE,NA,NA
"4","RT @iamsuperain: https://t.co/0IwXJoict5 ay iba í ¾í´£",FALSE,0,NA,2017-08-14 14:12:37,FALSE,NA,"897098637368369153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","indaykikay13",115,TRUE,FALSE,NA,NA
"5","RT @PhelimKine: #Philippines Prez #Duterte 's abusive war on drugs about to get a grilling at @UN review session of country's rights recordâ€¦",FALSE,0,NA,2017-08-14 14:12:29,FALSE,NA,"897098607303806976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrevGenocide",114,TRUE,FALSE,NA,NA
"6","RT @_MsAsiaPacific_: Yay! We're seeing some concrete actions vs Duterte's brutal drug war at the international level. #UPR27 #StopEJK httpsâ€¦",FALSE,0,NA,2017-08-14 14:12:22,FALSE,NA,"897098578195251204",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrevGenocide",46,TRUE,FALSE,NA,NA
"7","24 Oras: Litrato ni Davao VM Paolo Duterte kasama ang negosyanteng si Kenneth Dong, ... - WATCH VIDEO HERE -&gt;â€¦ https://t.co/uixepRKm0F",FALSE,0,NA,2017-08-14 14:11:36,TRUE,NA,"897098383764078593",NA,"<a href=""http://philippinesonline.info/"" rel=""nofollow"">PhilippinesOnlineInfo</a>","PhOnlineInfo",0,FALSE,FALSE,NA,NA
"8","RT @manila_bulletin: @argyllcyrus_MB Duterte: Sabi nila I am dying. OK lang. The day you are born, you are already starting to die. | @argyâ€¦",FALSE,0,NA,2017-08-14 14:11:33,FALSE,NA,"897098371290193921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juysermits",81,TRUE,FALSE,NA,NA
"9","RT @jprmercado: On the campaign trail, Trump and Duterte sowed the seeds of enmity.

And now, with them in power, hate is blossoming.",FALSE,0,NA,2017-08-14 14:11:31,FALSE,NA,"897098362633072640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abmulac",6,TRUE,FALSE,NA,NA
"10","RT @MoxieLi: WHY SO SILENT trolls? Ingay sa drugs tapos ang ingay sa customs but the moment PAOLO DUTERTE'S name comes up -- sileeeeence í ¾í´”í ¾í´”í ¾í´”",FALSE,0,NA,2017-08-14 14:11:00,FALSE,NA,"897098233322684418",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","raqsjon",13,TRUE,FALSE,NA,NA
