"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Politiko_Ph @lenirobredo She deserves to serve as President if PDuterte gets tired of  the presidency. BBM shld  quit on his protest.",FALSE,0,"Politiko_Ph",2017-08-14 11:58:45,FALSE,"897053302935797760","897064950690004992","2473747392","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","warrenglobio",0,FALSE,FALSE,NA,NA
"2","@mariaressa @rapplerdotcom What do U think? Dong ws tagged in meth smuggling. PDuterte is mysteriously silent abt tâ€¦ https://t.co/7s7LHqBCJW",FALSE,1,"mariaressa",2017-08-14 06:41:10,TRUE,"896982140235137025","896985029057716224","34664371","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","warrenglobio",0,FALSE,FALSE,NA,NA
"3","Salamat po #PDuterte sa mga best and brightest sa DSWD https://t.co/2YqAscstLy",FALSE,0,NA,2017-08-14 02:09:18,FALSE,NA,"896916610241318912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Otnak_Yob",0,FALSE,FALSE,NA,NA
"4","@jvejercito @sonnyangara @DickGordonDG @bamaquino @TrillanesSonny yung wtns ni De5 na drglrd pinaniwalaan, yung emp ng BOC kay PDuterte hndi",FALSE,0,"jvejercito",2017-08-14 02:03:43,FALSE,NA,"896915206164553734","60869727","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","upperhillside",0,FALSE,FALSE,NA,NA
"5","Sasagutin din ba ito ni #PDuterte ?

https://t.co/ct1xR9ZakP",FALSE,0,NA,2017-08-14 01:44:21,FALSE,NA,"896910331657596928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Otnak_Yob",0,FALSE,FALSE,NA,NA
"6","@politikobicol @Politiko_Ph bida and drugs cases but custom's P6.4-B shabu smuggling isn't. Why, PDuterte?",FALSE,0,"politikobicol",2017-08-13 12:30:48,FALSE,"896708578723020800","896710627699314688","779237047882047488","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","warrenglobio",0,FALSE,FALSE,NA,NA
"7","@tipsAMLC @inquirerdotnet @HouseofRepsPH @repnancycatamco @zenhernandez How can you now trust PDuterte's drugs war? https://t.co/bxZzwHFKmn",FALSE,0,"warrenglobio",2017-08-13 05:23:36,FALSE,"896601035896004608","896603120029102080","890859279170715648","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","warrenglobio",0,FALSE,FALSE,NA,NA
"8","Salamat po #PDuterte sa pagtatanggol sa mga drug importers... isa kang mabuting ama sa isa ng drug peddler

https://t.co/m980jca2Nm",FALSE,0,NA,2017-08-13 01:31:37,FALSE,NA,"896544739717021696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Otnak_Yob",0,FALSE,FALSE,NA,NA
"9","Thank you po, #PDuterte. Napakagaling ng mga pulis natin https://t.co/XIVjgyprec",FALSE,0,NA,2017-08-13 01:22:11,FALSE,NA,"896542364356943874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Otnak_Yob",0,FALSE,FALSE,NA,NA
"10","Salamat po #PDuterte isa ka pong mapagmahal na pangulo...

https://t.co/gz0j2twg4a",FALSE,0,NA,2017-08-13 01:15:16,FALSE,NA,"896540622781243392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Otnak_Yob",0,FALSE,FALSE,NA,NA
